model,sigma,seed,rho,ground_truth_h5ad,trained_h5ad
Base Decipher,0.1,0,0.940194160428072,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/0720_vz_0.01_-0.01_0.06_0.01_-0.05.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/trained/decipher/sigma0.1_seed0_decipher.h5ad
Base Decipher,0.1,1,0.9404480110892464,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/0720_vz_0.03_0.08_0.03_-0.13_0.09.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/trained/decipher/sigma0.1_seed1_decipher.h5ad
Base Decipher,0.1,2,0.9092761860114811,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/0720_vz_0.02_-0.05_-0.04_-0.24_0.18.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/trained/decipher/sigma0.1_seed2_decipher.h5ad
Base Decipher,0.1,3,0.9217113650807391,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/0720_vz_0.20_-0.26_0.04_-0.06_-0.05.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/trained/decipher/sigma0.1_seed3_decipher.h5ad
Base Decipher,0.1,4,0.9358964839576964,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/0720_vz_-0.07_-0.02_0.17_0.07_-0.16.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/trained/decipher/sigma0.1_seed4_decipher.h5ad
Base Decipher,0.5,0,0.9359217639320504,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/0720_vz_0.06_-0.07_0.32_0.05_-0.27.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/trained/decipher/sigma0.5_seed0_decipher.h5ad
Base Decipher,0.5,1,0.9023541499669595,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/0720_vz_0.17_0.41_0.17_-0.65_0.45.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/trained/decipher/sigma0.5_seed1_decipher.h5ad
Base Decipher,0.5,2,0.7173453103243402,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/0720_vz_0.09_-0.26_-0.21_-1.22_0.90.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/trained/decipher/sigma0.5_seed2_decipher.h5ad
Base Decipher,0.5,3,0.9012074339796448,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/0720_vz_1.02_-1.28_0.21_-0.28_-0.23.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/trained/decipher/sigma0.5_seed3_decipher.h5ad
Base Decipher,0.5,4,0.855465702435055,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/0720_vz_-0.33_-0.09_0.83_0.33_-0.82.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/trained/decipher/sigma0.5_seed4_decipher.h5ad
