model,sigma,seed,rho,ground_truth_h5ad,trained_h5ad
Base Decipher,0.01,0,0.7487267919045381,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_shift_sigma_sweep/0724_vz_sigma0.01.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_shift_sigma_sweep/trained/decipher/sigma0.01_seed0_decipher.h5ad
Base Decipher,0.01,1,0.7905279154590414,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_shift_sigma_sweep/0724_vz_sigma0.01.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_shift_sigma_sweep/trained/decipher/sigma0.01_seed1_decipher.h5ad
Base Decipher,0.01,2,0.7750347836811473,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_shift_sigma_sweep/0724_vz_sigma0.01.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_shift_sigma_sweep/trained/decipher/sigma0.01_seed2_decipher.h5ad
Base Decipher,0.01,3,0.7951660081625811,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_shift_sigma_sweep/0724_vz_sigma0.01.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_shift_sigma_sweep/trained/decipher/sigma0.01_seed3_decipher.h5ad
Base Decipher,0.01,4,0.7834919252110477,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_shift_sigma_sweep/0724_vz_sigma0.01.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_shift_sigma_sweep/trained/decipher/sigma0.01_seed4_decipher.h5ad
Base Decipher,0.02,0,0.7597191459597462,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_shift_sigma_sweep/0724_vz_sigma0.02.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_shift_sigma_sweep/trained/decipher/sigma0.02_seed0_decipher.h5ad
Base Decipher,0.02,1,0.7952584133485787,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_shift_sigma_sweep/0724_vz_sigma0.02.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_shift_sigma_sweep/trained/decipher/sigma0.02_seed1_decipher.h5ad
Base Decipher,0.02,2,0.7697053649437345,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_shift_sigma_sweep/0724_vz_sigma0.02.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_shift_sigma_sweep/trained/decipher/sigma0.02_seed2_decipher.h5ad
Base Decipher,0.02,3,0.7790019092668052,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_shift_sigma_sweep/0724_vz_sigma0.02.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_shift_sigma_sweep/trained/decipher/sigma0.02_seed3_decipher.h5ad
Base Decipher,0.02,4,0.7907440258022963,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_shift_sigma_sweep/0724_vz_sigma0.02.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_shift_sigma_sweep/trained/decipher/sigma0.02_seed4_decipher.h5ad
