model,sigma,seed,rho,ground_truth_h5ad,trained_h5ad
Base Decipher,0.01,0,0.9091230592989928,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_bio_sigma_0.1/0724_vz_sigma0.01.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_bio_sigma_0.1/trained/decipher/sigma0.01_seed0_decipher.h5ad
Base Decipher,0.01,1,0.9273840301177484,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_bio_sigma_0.1/0724_vz_sigma0.01.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_bio_sigma_0.1/trained/decipher/sigma0.01_seed1_decipher.h5ad
Base Decipher,0.01,2,0.9361421949153872,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_bio_sigma_0.1/0724_vz_sigma0.01.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_bio_sigma_0.1/trained/decipher/sigma0.01_seed2_decipher.h5ad
Base Decipher,0.01,3,0.9148990947275778,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_bio_sigma_0.1/0724_vz_sigma0.01.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_bio_sigma_0.1/trained/decipher/sigma0.01_seed3_decipher.h5ad
Base Decipher,0.01,4,0.9180500364591774,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_bio_sigma_0.1/0724_vz_sigma0.01.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_bio_sigma_0.1/trained/decipher/sigma0.01_seed4_decipher.h5ad
Base Decipher,0.02,0,0.9077455455367868,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_bio_sigma_0.1/0724_vz_sigma0.02.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_bio_sigma_0.1/trained/decipher/sigma0.02_seed0_decipher.h5ad
Base Decipher,0.02,1,0.9305482410130025,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_bio_sigma_0.1/0724_vz_sigma0.02.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_bio_sigma_0.1/trained/decipher/sigma0.02_seed1_decipher.h5ad
Base Decipher,0.02,2,0.918040875942122,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_bio_sigma_0.1/0724_vz_sigma0.02.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_bio_sigma_0.1/trained/decipher/sigma0.02_seed2_decipher.h5ad
Base Decipher,0.02,3,0.900965235290812,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_bio_sigma_0.1/0724_vz_sigma0.02.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_bio_sigma_0.1/trained/decipher/sigma0.02_seed3_decipher.h5ad
Base Decipher,0.02,4,0.9182305767738235,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_bio_sigma_0.1/0724_vz_sigma0.02.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/6dz_bio_sigma_0.1/trained/decipher/sigma0.02_seed4_decipher.h5ad
