ilisi,graph_conn,sil_batch,sigma,seed,model
0.16810364,0.3912,0.80009747,0.5,0,base
0.19085333,0.62,0.85645884,0.5,0,vz
0.24694741,0.49319999999999997,0.7840115,0.5,0,vz2
0.2054654,0.45280000000000004,0.70183843,0.5,0,mf
0.14457405,0.558,0.72038466,0.5,1,base
0.18854576,0.5532,0.86098945,0.5,1,vz
0.17046082,0.6604,0.8295066,0.5,1,vz2
0.18651688,0.49280000000000007,0.7909512,0.5,1,mf
0.22434902,0.32039999999999996,0.695194,0.5,2,base
0.27376747,0.5107999999999999,0.7429327,0.5,2,vz
0.26926005,0.516,0.72035587,0.5,2,vz2
0.31664652,0.3492,0.7601368,0.5,2,mf
0.19545442,0.5367999999999999,0.76415455,0.5,3,base
0.24184704,0.532,0.82980096,0.5,3,vz
0.2536571,0.6891999999999999,0.85061026,0.5,3,vz2
0.29096133,0.362,0.7895111,0.5,3,mf
0.58284116,0.3484,0.7972868,0.5,4,base
0.5761884,0.35960000000000003,0.779773,0.5,4,vz
0.56835926,0.4044,0.83107233,0.5,4,vz2
0.5679959,0.27999999999999997,0.77731,0.5,4,mf
2.9802322e-08,0.27040000000000003,0.35389477,2.0,0,base
0.002280116,0.6668000000000001,0.7252572,2.0,0,vz
2.9802322e-08,0.2944,0.54419225,2.0,0,vz2
0.014967352,0.46399999999999997,0.70584774,2.0,0,mf
5.9604645e-08,0.2572,0.42612976,2.0,1,base
0.015368253,0.5256000000000001,0.76979095,2.0,1,vz
0.00586012,0.4119999999999999,0.7021366,2.0,1,vz2
0.009238303,0.21999999999999997,0.7517377,2.0,1,mf
0.09897432,0.22560000000000002,0.5112108,2.0,2,base
0.14681631,0.3992,0.7421346,2.0,2,vz
0.16929263,0.3468,0.68013406,2.0,2,vz2
0.18895793,0.33919999999999995,0.7001146,2.0,2,mf
5.9604645e-08,0.5544,0.6208307,2.0,3,base
0.039097965,0.6931999999999999,0.7171401,2.0,3,vz
0.033163786,0.5512,0.7138947,2.0,3,vz2
0.10422364,0.6564,0.7263781,2.0,3,mf
0.3286456,0.372,0.744192,2.0,4,base
0.33804882,0.40199999999999997,0.84544927,2.0,4,vz
0.3486601,0.32520000000000004,0.81516016,2.0,4,vz2
0.40789473,0.3836,0.8223467,2.0,4,mf
0.0,0.1528,0.18851396,5.0,0,base
8.940697e-08,0.3348,0.47424912,5.0,0,vz
0.0,0.17720000000000002,0.23601349,5.0,0,vz2
1.7285347e-06,0.1024,0.48484856,5.0,0,mf
0.0,0.168,0.22404525,5.0,1,base
0.0,0.2032,0.28666764,5.0,1,vz
0.0,0.2324,0.4595036,5.0,1,vz2
5.9604645e-08,0.1756,0.59875435,5.0,1,mf
1.7881393e-07,0.23759999999999998,0.47705507,5.0,2,base
0.0358088,0.3036,0.6273675,5.0,2,vz
0.018365264,0.3408,0.54413694,5.0,2,vz2
0.013546288,0.1676,0.60899675,5.0,2,mf
0.0,0.1732,0.15215065,5.0,3,base
0.00041729212,0.4312,0.4459551,5.0,3,vz
2.9802322e-08,0.1872,0.36451393,5.0,3,vz2
0.007941604,0.5112,0.7116955,5.0,3,mf
0.12878776,0.4868,0.69416463,5.0,4,base
0.183344,0.6632,0.8394534,5.0,4,vz
0.22112119,0.4204,0.80128974,5.0,4,vz2
0.24768233,0.3644,0.8018317,5.0,4,mf
