model,n_z_dims,shift_sigma,seed,decipher_seed,rho,trained_h5ad,r2_overall,r2_per_gene_median,error
Decipher-VZ,3,0.1,0,1,0.8570222998102431,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.1_seed0_decipher_vz.h5ad,0.7643103284586086,0.49348693479634087,
Decipher-VZ,3,0.1,1,1,0.9278264435632055,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.1_seed1_decipher_vz.h5ad,0.7776774795455086,0.5384945809639601,
Decipher-VZ,3,0.1,2,1,0.8763446216632943,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.1_seed2_decipher_vz.h5ad,0.7494153231958351,0.45645966084342704,
Decipher-VZ,3,0.5,0,1,0.6680089474253892,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.5_seed0_decipher_vz.h5ad,0.8221114837703671,0.6638353070468936,
Decipher-VZ,3,0.5,1,1,0.7833395447414374,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.5_seed1_decipher_vz.h5ad,0.827040672793034,0.6776646650767966,
Decipher-VZ,3,0.5,2,1,0.825819166922034,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.5_seed2_decipher_vz.h5ad,0.7474886257971689,0.5327288022557344,
Decipher-VZ,3,1.0,0,1,0.6407412860863246,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma1.0_seed0_decipher_vz.h5ad,0.8891139393219472,0.8005561634043397,
Decipher-VZ,3,1.0,1,1,0.6719465135334145,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma1.0_seed1_decipher_vz.h5ad,0.8855325523616803,0.7922062927513387,
Decipher-VZ,3,1.0,2,1,0.6011174457348772,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma1.0_seed2_decipher_vz.h5ad,0.8278804016010022,0.6854328066546547,
Decipher-VZ,3,2.0,0,1,0.5473243552586455,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma2.0_seed0_decipher_vz.h5ad,0.9406363327096263,0.9144919473613281,
Decipher-VZ,3,2.0,1,1,0.59369802015052,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma2.0_seed1_decipher_vz.h5ad,0.929805360427002,0.8963896149265915,
Decipher-VZ,3,2.0,2,1,0.6956630837991298,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma2.0_seed2_decipher_vz.h5ad,0.91010120481661,0.849531336761947,
Decipher-VZ,3,5.0,0,1,0.4585474861092251,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma5.0_seed0_decipher_vz.h5ad,0.9516026859812823,0.9454933765386493,
Decipher-VZ,3,5.0,1,1,0.5757976684212993,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma5.0_seed1_decipher_vz.h5ad,0.95407977210736,0.9503134554135837,
Decipher-VZ,3,5.0,2,1,0.5671888851478926,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma5.0_seed2_decipher_vz.h5ad,0.9586718114487318,0.9452048154785967,
Decipher-VZ,3,7.5,0,1,0.48988564981450594,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma7.5_seed0_decipher_vz.h5ad,0.9470149680588573,0.9454682263637255,
Decipher-VZ,3,7.5,1,1,0.5038959048835707,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma7.5_seed1_decipher_vz.h5ad,0.9534492231590279,0.959717346430168,
Decipher-VZ,3,7.5,2,1,0.28747932660046416,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma7.5_seed2_decipher_vz.h5ad,0.9688681452143955,0.9634943077594009,
Decipher-VZ,3,10.0,0,1,0.46319878546640547,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma10.0_seed0_decipher_vz.h5ad,0.9421210774043084,0.9404001008526817,
