model,n_z_dims,shift_sigma,seed,decipher_seed,rho,trained_h5ad,r2_overall,r2_per_gene_median,error
Decipher-VZ,3,0.1,3,1,0.9886917456533911,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.1_seed3_decipher_vz.h5ad,0.9068705100260847,0.759925231344528,
Decipher-VZ,3,0.1,4,1,0.9724939049510112,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.1_seed4_decipher_vz.h5ad,0.8371913090675294,0.6625193188704953,
Decipher-VZ,3,0.5,3,1,0.9358770096396851,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.5_seed3_decipher_vz.h5ad,0.9226746236563884,0.8093616875905125,
Decipher-VZ,3,0.5,4,1,0.9587753431832591,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.5_seed4_decipher_vz.h5ad,0.8476323421359886,0.6697194044956263,
Decipher-VZ,3,1.0,3,1,0.8114673797325878,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma1.0_seed3_decipher_vz.h5ad,0.9304444688691446,0.8510505751436173,
Decipher-VZ,3,1.0,4,1,0.96778899580378,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma1.0_seed4_decipher_vz.h5ad,0.8830665265143144,0.7985902716544235,
Decipher-VZ,3,2.0,3,1,0.7168533342402205,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma2.0_seed3_decipher_vz.h5ad,0.9447363111239018,0.9073724111914153,
Decipher-VZ,3,2.0,4,1,0.7888766720547746,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma2.0_seed4_decipher_vz.h5ad,0.9239901530124391,0.880117561813794,
Decipher-VZ,3,5.0,3,1,0.5419211229270557,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma5.0_seed3_decipher_vz.h5ad,0.9628584783604847,0.9489881524896221,
Decipher-VZ,3,5.0,4,1,0.8456292773624071,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma5.0_seed4_decipher_vz.h5ad,0.9608825529871552,0.9450387737272445,
Decipher-VZ,3,7.5,3,1,0.5053395610052894,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma7.5_seed3_decipher_vz.h5ad,0.9687288581420389,0.9599358526917063,
Decipher-VZ,3,7.5,4,1,0.41244392099354943,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma7.5_seed4_decipher_vz.h5ad,0.9701500580214314,0.9591909477403124,
Decipher-VZ,3,10.0,3,1,0.670514627562404,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma10.0_seed3_decipher_vz.h5ad,0.969142287038106,0.9637802651360844,
Decipher-VZ,3,10.0,4,1,0.2908317418406526,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma10.0_seed4_decipher_vz.h5ad,0.9747577990403936,0.9673157853327858,
Decipher-VZ2,3,0.1,3,1,0.9919716553521808,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.1_seed3_decipher_vz2.h5ad,0.9030984570193054,0.773896867121123,
Decipher-VZ2,3,0.1,4,1,0.9721521350608266,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.1_seed4_decipher_vz2.h5ad,0.8348216275868388,0.6516938958005674,
Decipher-VZ2,3,0.5,3,1,0.9543776105010462,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.5_seed3_decipher_vz2.h5ad,0.8532298775374546,0.6474429614137347,
Decipher-VZ2,3,0.5,4,1,0.9543091514887102,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.5_seed4_decipher_vz2.h5ad,0.7897199954957453,0.5871154473766702,
Decipher-VZ2,3,1.0,3,1,0.9045312414100541,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma1.0_seed3_decipher_vz2.h5ad,0.7634337772467906,0.5802465980873385,
Decipher-VZ2,3,1.0,4,1,0.9231920829668425,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma1.0_seed4_decipher_vz2.h5ad,0.715077972260836,0.4541112167574334,
Decipher-VZ2,3,2.0,3,1,0.7928558271759695,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma2.0_seed3_decipher_vz2.h5ad,0.6837542402993683,0.5693910685608448,
Decipher-VZ2,3,2.0,4,1,0.8142930303988574,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma2.0_seed4_decipher_vz2.h5ad,0.8498543116105705,0.7504464433822959,
Decipher-VZ2,3,5.0,3,1,0.8433209611072444,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma5.0_seed3_decipher_vz2.h5ad,0.7303892206745247,0.7311692590425396,
Decipher-VZ2,3,5.0,4,1,0.6165342457233832,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma5.0_seed4_decipher_vz2.h5ad,0.8124589332144123,0.7997899171840265,
Decipher-VZ2,3,7.5,3,1,0.8482749313986078,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma7.5_seed3_decipher_vz2.h5ad,0.8290483592516383,0.8227227916460388,
Decipher-VZ2,3,7.5,4,1,0.8038797865317611,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma7.5_seed4_decipher_vz2.h5ad,0.8871068369633933,0.8683589922576155,
Decipher-VZ2,3,10.0,3,1,0.8303445781996878,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma10.0_seed3_decipher_vz2.h5ad,0.8039304041995423,0.8321040928420657,
Decipher-VZ2,3,10.0,4,1,0.7463366496054964,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma10.0_seed4_decipher_vz2.h5ad,0.9066973400022584,0.9233039527855895,
Decipher-MF,3,0.1,3,1,0.9921941541255239,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.1_seed3_decipher_mf.h5ad,0.9031690944613203,0.7659510154568037,
Decipher-MF,3,0.1,4,1,0.9780330439263989,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.1_seed4_decipher_mf.h5ad,0.8346225015161943,0.650877513662953,
Decipher-MF,3,0.5,3,1,0.9621317179748358,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.5_seed3_decipher_mf.h5ad,0.860758446015754,0.655425123851574,
Decipher-MF,3,0.5,4,1,0.9503496105216105,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.5_seed4_decipher_mf.h5ad,0.7935774432503538,0.5734109476192326,
Decipher-MF,3,1.0,3,1,0.8874967953570368,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma1.0_seed3_decipher_mf.h5ad,0.7939800719997016,0.5879868660956248,
Decipher-MF,3,1.0,4,1,0.9322371550299816,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma1.0_seed4_decipher_mf.h5ad,0.7566713957853523,0.5490368155528169,
Decipher-MF,3,2.0,3,1,0.7735245806040822,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma2.0_seed3_decipher_mf.h5ad,0.7654204159057885,0.6627658592232888,
