model,n_z_dims,shift_sigma,seed,decipher_seed,rho,trained_h5ad,r2_overall,r2_per_gene_median,error
Decipher-VZ-Add,3,0.1,0,1,0.8566792703279209,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0821/trained/sigma0.1_seed0_decipher_vz_add.h5ad,0.7667374668495757,0.48424537914630733,
Decipher-VZ-Add,3,0.1,1,1,0.9267599260104222,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0821/trained/sigma0.1_seed1_decipher_vz_add.h5ad,0.7799851912939519,0.5460519796633185,
Decipher-VZ-Add,3,0.2,0,1,0.7632696068322874,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0821/trained/sigma0.2_seed0_decipher_vz_add.h5ad,0.7591184499624462,0.5280055724293192,
Decipher-VZ-Add,3,0.2,1,1,0.9063288101020797,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0821/trained/sigma0.2_seed1_decipher_vz_add.h5ad,0.7741234962681518,0.5569210530795405,
Decipher-VZ-Add,3,0.3,0,1,0.7120157529465385,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0821/trained/sigma0.3_seed0_decipher_vz_add.h5ad,0.7869742085259134,0.5701436238610669,
Decipher-VZ-Add,3,0.3,1,1,0.8962485203048295,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0821/trained/sigma0.3_seed1_decipher_vz_add.h5ad,0.8019800176121371,0.6110920909289792,
Decipher-VZ2-Add,3,0.1,0,1,0.8572181321357709,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0821/trained/sigma0.1_seed0_decipher_vz2_add.h5ad,0.7641846155392339,0.4768197171406098,
Decipher-VZ2-Add,3,0.1,1,1,0.9207055238276554,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0821/trained/sigma0.1_seed1_decipher_vz2_add.h5ad,0.7788825064112468,0.5207682581490667,
Decipher-VZ2-Add,3,0.2,0,1,0.7748463288370785,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0821/trained/sigma0.2_seed0_decipher_vz2_add.h5ad,0.7164619231834681,0.41626152969687036,
Decipher-VZ2-Add,3,0.2,1,1,0.8997698359353759,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0821/trained/sigma0.2_seed1_decipher_vz2_add.h5ad,0.7638305586797716,0.5057068796719206,
