ilisi,graph_conn,sil_batch,model,shift_sigma,seed
0.45921647548675537,0.9591999999999998,0.8073114,Decipher-VZ-Add,0.1,0
0.48368895053863525,0.9564,0.8284691,Decipher-VZ-Add,0.1,1
0.49540072679519653,0.954,0.8798439,Decipher-VZ-Add,0.1,2
0.26065921783447266,0.8859999999999999,0.7157413,Decipher-VZ-Add,0.25,0
0.3415437936782837,0.958,0.7689019,Decipher-VZ-Add,0.25,1
0.39000916481018066,0.9603999999999999,0.7829666,Decipher-VZ-Add,0.25,2
0.051396310329437256,0.766,0.6259687,Decipher-VZ-Add,0.5,0
0.09398826956748962,0.8051999999999999,0.5853192,Decipher-VZ-Add,0.5,1
0.1597345471382141,0.8795999999999999,0.67853826,Decipher-VZ-Add,0.5,2
1.4901161193847656e-07,0.3548,0.40350294,Decipher-VZ-Add,1.0,0
0.0,0.382,0.30287072,Decipher-VZ-Add,1.0,1
1.1920928955078125e-07,0.7716,0.48859558,Decipher-VZ-Add,1.0,2
0.0,0.2172,0.17866626,Decipher-VZ-Add,2.5,0
0.0,0.2124,0.13373974,Decipher-VZ-Add,2.5,1
0.0,0.31399999999999995,0.25979576,Decipher-VZ-Add,2.5,2
0.4742426872253418,0.9339999999999999,0.8496995,Decipher-VZ2-Add,0.1,0
0.49042809009552,0.9715999999999999,0.8573475,Decipher-VZ2-Add,0.1,1
0.5268261432647705,0.9611999999999998,0.9027916,Decipher-VZ2-Add,0.1,2
0.2704232931137085,0.8932,0.68152493,Decipher-VZ2-Add,0.25,0
0.2980191111564636,0.9652000000000001,0.75631654,Decipher-VZ2-Add,0.25,1
0.3854628801345825,0.962,0.7977314,Decipher-VZ2-Add,0.25,2
0.13882887363433838,0.7672000000000001,0.73786026,Decipher-VZ2-Add,0.5,0
0.10989099740982056,0.9736,0.6046651,Decipher-VZ2-Add,0.5,1
0.2839088439941406,0.9408000000000001,0.7218665,Decipher-VZ2-Add,0.5,2
2.9802322387695312e-08,0.5439999999999999,0.36287546,Decipher-VZ2-Add,1.0,0
2.384185791015625e-07,0.3928,0.43693805,Decipher-VZ2-Add,1.0,1
1.1920928955078125e-07,0.6968,0.4863161,Decipher-VZ2-Add,1.0,2
0.0,0.21680000000000002,0.14746395,Decipher-VZ2-Add,2.5,0
0.0,0.21760000000000002,0.1543196,Decipher-VZ2-Add,2.5,1
2.9802322387695312e-08,0.27199999999999996,0.2837971,Decipher-VZ2-Add,2.5,2
0.4596750736236572,0.9416,0.8436403,Decipher-MF-Add,0.1,0
0.4552125930786133,0.9716000000000001,0.8416851,Decipher-MF-Add,0.1,1
0.5283018350601196,0.9576,0.895563,Decipher-MF-Add,0.1,2
0.2859804034233093,0.906,0.6969787,Decipher-MF-Add,0.25,0
0.24900805950164795,0.9728,0.77814204,Decipher-MF-Add,0.25,1
0.36455923318862915,0.958,0.783331,Decipher-MF-Add,0.25,2
0.07936418056488037,0.7904,0.62608624,Decipher-MF-Add,0.5,0
0.11987459659576416,0.9712,0.6418508,Decipher-MF-Add,0.5,1
0.1768893003463745,0.9231999999999999,0.7057683,Decipher-MF-Add,0.5,2
8.940696716308594e-08,0.39080000000000004,0.43968233,Decipher-MF-Add,1.0,0
1.4901161193847656e-07,0.362,0.38969705,Decipher-MF-Add,1.0,1
1.7881393432617188e-07,0.6971999999999999,0.467786,Decipher-MF-Add,1.0,2
0.0,0.21760000000000002,0.16988505,Decipher-MF-Add,2.5,0
0.0,0.21800000000000003,0.15470718,Decipher-MF-Add,2.5,1
5.960464477539063e-08,0.33119999999999994,0.32305557,Decipher-MF-Add,2.5,2
0.49721527099609375,0.8992000000000001,0.80177957,Base Decipher,0.1,0
0.45678436756134033,0.968,0.7974124,Base Decipher,0.1,1
0.5361172556877136,0.9575999999999999,0.8956833,Base Decipher,0.1,2
0.23124021291732788,0.9396000000000001,0.72636914,Base Decipher,0.25,0
0.2496699094772339,0.9692000000000001,0.7819768,Base Decipher,0.25,1
0.3479732275009155,0.9608000000000001,0.8133485,Base Decipher,0.25,2
1.1920928955078125e-07,0.5064,0.41583258,Base Decipher,0.5,0
0.08764174580574036,0.9788,0.6376954,Base Decipher,0.5,1
0.13779836893081665,0.8867999999999998,0.66020936,Base Decipher,0.5,2
0.0,0.2992,0.29688329,Base Decipher,1.0,0
5.960464477539063e-08,0.38760000000000006,0.35500988,Base Decipher,1.0,1
5.960464477539063e-08,0.5256000000000001,0.48338634,Base Decipher,1.0,2
0.0,0.2192,0.12882553,Base Decipher,2.5,0
0.0,0.2156,0.12833217,Base Decipher,2.5,1
0.0,0.2116,0.22206755,Base Decipher,2.5,2
