model,n_z_dims,shift_sigma,seed,decipher_seed,rho,trained_h5ad,r2_overall,r2_per_gene_median,error
Decipher-VZ-Add,3,0.1,0,1,0.8538331926550541,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0824/trained/sigma0.1_seed0_decipher_vz_add.h5ad,0.7639848688524667,0.48445209797650024,
Decipher-VZ-Add,3,0.1,1,1,0.9176739907996185,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0824/trained/sigma0.1_seed1_decipher_vz_add.h5ad,0.7691294451726126,0.5145829209657864,
Decipher-VZ-Add,3,0.1,2,1,0.8676258531977327,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0824/trained/sigma0.1_seed2_decipher_vz_add.h5ad,0.7730212322398266,0.4762765425002746,
Decipher-VZ-Add,3,0.25,0,1,0.6837278803526414,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0824/trained/sigma0.25_seed0_decipher_vz_add.h5ad,0.7594564559412504,0.507171681255242,
Decipher-VZ-Add,3,0.25,1,1,0.8158370214471748,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0824/trained/sigma0.25_seed1_decipher_vz_add.h5ad,0.7915144441942744,0.5771944547028031,
Decipher-VZ-Add,3,0.25,2,1,0.8412087008559733,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0824/trained/sigma0.25_seed2_decipher_vz_add.h5ad,0.7543680453626637,0.4518084135295162,
Decipher-VZ-Add,3,0.5,0,1,0.6890111393287256,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0824/trained/sigma0.5_seed0_decipher_vz_add.h5ad,0.8218080159777836,0.6616670963135296,
Decipher-VZ-Add,3,0.5,1,1,0.5675278023156531,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0824/trained/sigma0.5_seed1_decipher_vz_add.h5ad,0.826746331398118,0.6772733988013838,
Decipher-VZ-Add,3,0.5,2,1,0.8270159111043187,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0824/trained/sigma0.5_seed2_decipher_vz_add.h5ad,0.7517777761934188,0.5348516516380374,
Decipher-VZ-Add,3,1.0,0,1,0.5566248833043922,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0824/trained/sigma1.0_seed0_decipher_vz_add.h5ad,0.8938882860970635,0.811367598406201,
