r,magnitude_ratio,model,shift_sigma,seed
0.2625056050397399,0.22177340474386767,Decipher-VZ-Add,0.1,0
0.3062041731982302,0.296105591459838,Decipher-VZ-Add,0.1,1
0.33528859534843636,0.3376403151148822,Decipher-VZ-Add,0.1,2
0.7167679821123759,0.607117632609586,Decipher-VZ-Add,0.25,0
0.7360972016745501,0.6270448168672066,Decipher-VZ-Add,0.25,1
0.7619401827838725,0.6840887711631062,Decipher-VZ-Add,0.25,2
0.8830772776506199,0.8004173176552893,Decipher-VZ-Add,0.5,0
0.7636948171260822,0.6865241711169245,Decipher-VZ-Add,0.5,1
0.8724019277887685,0.7992547905982746,Decipher-VZ-Add,0.5,2
0.8779903884841705,0.8277411981549507,Decipher-VZ-Add,1.0,0
0.8881097797667161,0.8371034784885153,Decipher-VZ-Add,1.0,1
0.8633433965932293,0.8156438631510671,Decipher-VZ-Add,1.0,2
0.3286099116177796,0.27842190951867835,Decipher-VZ2-Add,0.1,0
0.2508573558235419,0.23683165866207145,Decipher-VZ2-Add,0.1,1
0.4263490657117186,0.4163866399503066,Decipher-VZ2-Add,0.1,2
0.7244596798666316,0.5997296517565961,Decipher-VZ2-Add,0.25,0
0.7295431429669706,0.61758285086841,Decipher-VZ2-Add,0.25,1
0.762888435432452,0.642080163453009,Decipher-VZ2-Add,0.25,2
0.8819385604013112,0.805734088498353,Decipher-VZ2-Add,0.5,0
0.7383760937901086,0.6866791647801037,Decipher-VZ2-Add,0.5,1
0.8762387695401075,0.8052893204154655,Decipher-VZ2-Add,0.5,2
0.8719420744860565,0.8078208309375998,Decipher-VZ2-Add,1.0,0
0.8888860485791238,0.8423914356797831,Decipher-VZ2-Add,1.0,1
0.8768560755185949,0.8329024186644847,Decipher-VZ2-Add,1.0,2
0.22440196038098767,0.218119533743885,Decipher-MF-Add,0.1,0
0.5222942160264373,0.4331891186653107,Decipher-MF-Add,0.1,1
0.4183808843473749,0.4133405506730249,Decipher-MF-Add,0.1,2
0.7198653826590165,0.6582919566853462,Decipher-MF-Add,0.25,0
0.7547309299388678,0.7005591713995986,Decipher-MF-Add,0.25,1
0.7585048410183073,0.695062647537517,Decipher-MF-Add,0.25,2
0.8828637465381772,0.8197108206095127,Decipher-MF-Add,0.5,0
0.7668414855233827,0.7245605654230723,Decipher-MF-Add,0.5,1
0.8743793816742371,0.819149654255027,Decipher-MF-Add,0.5,2
0.8763803390185759,0.8240764865410268,Decipher-MF-Add,1.0,0
0.8832241026522601,0.8400387507174295,Decipher-MF-Add,1.0,1
