model,n_z_dims,shift_sigma,seed,decipher_seed,beta,batch_mode,rho,trained_h5ad,r2_overall,r2_per_gene_median,error
Decipher-VZ-Add,3,0.1,0,1,0.1,genes,0.8853220984804575,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.1_seed0_decipher_vz_add.h5ad,0.6658995187471278,0.3822610059723976,
Decipher-VZ-Add,3,0.1,1,1,0.1,genes,0.9281027821255391,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.1_seed1_decipher_vz_add.h5ad,0.7075484255500821,0.44838606086273514,
Decipher-VZ-Add,3,0.1,2,1,0.1,genes,0.8783186565371525,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.1_seed2_decipher_vz_add.h5ad,0.6601044269780334,0.33374483901424723,
Decipher-VZ-Add,3,0.25,0,1,0.1,genes,0.8786297800160321,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.25_seed0_decipher_vz_add.h5ad,0.5714146532916202,0.30998462235470875,
Decipher-VZ-Add,3,0.25,1,1,0.1,genes,0.9066900342729324,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.25_seed1_decipher_vz_add.h5ad,0.6327250130511954,0.3863375433133571,
Decipher-VZ-Add,3,0.25,2,1,0.1,genes,0.8644509849089802,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.25_seed2_decipher_vz_add.h5ad,0.5662559300256729,0.31531630957940787,
Decipher-VZ-Add,3,0.5,0,1,0.1,genes,0.2991882017421356,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.5_seed0_decipher_vz_add.h5ad,0.6039717808873067,0.373069627897758,
Decipher-VZ-Add,3,0.5,1,1,0.1,genes,0.9237134425505846,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.5_seed1_decipher_vz_add.h5ad,0.6322872973988625,0.4942567220280744,
Decipher-VZ-Add,3,0.5,2,1,0.1,genes,0.2284727662217876,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.5_seed2_decipher_vz_add.h5ad,0.5869975278928856,0.3468286057183713,
Decipher-VZ-Add,3,1.0,0,1,0.1,genes,0.21083258680279104,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma1.0_seed0_decipher_vz_add.h5ad,0.6901051462861962,0.5833503003103666,
