model,sigma,leiden_resolution,n_clusters,rho,trained_h5ad
Base Decipher,0.1,0.02,15,0.7639361409996741,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.1_seed0_decipher_leidenres0.02.h5ad
Base Decipher,0.1,0.05,19,0.7639517400511351,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.1_seed0_decipher_leidenres0.05.h5ad
Base Decipher,0.1,0.1,24,0.774285246771538,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.1_seed0_decipher_leidenres0.1.h5ad
Base Decipher,0.1,0.5,40,0.7875876111530051,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.1_seed0_decipher_leidenres0.5.h5ad
Base Decipher,0.1,1.0,56,0.7926182681972314,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.1_seed0_decipher_leidenres1.0.h5ad
Base Decipher,0.5,0.02,4,0.25181677664036195,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.5_seed0_decipher_leidenres0.02.h5ad
Base Decipher,0.5,0.05,6,0.42216180140850573,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.5_seed0_decipher_leidenres0.05.h5ad
Base Decipher,0.5,0.1,11,0.44016944820080967,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.5_seed0_decipher_leidenres0.1.h5ad
Base Decipher,0.5,0.5,24,0.4898558652901441,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.5_seed0_decipher_leidenres0.5.h5ad
Base Decipher,0.5,1.0,39,0.5911251039232448,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.5_seed0_decipher_leidenres1.0.h5ad
Base Decipher,1.0,0.02,5,0.04683217335323114,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma1.0_seed0_decipher_leidenres0.02.h5ad
Base Decipher,1.0,0.05,6,0.09746645743153266,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma1.0_seed0_decipher_leidenres0.05.h5ad
