model,sigma,n_neighbors,native_gt_sil,native_learned_sil,umap_gt_sil,umap_learned_sil
decipher,0.1,5,-0.037750839395557526,-0.07987420884638677,-0.051245514,-0.05360061
decipher,0.1,10,-0.037750839395557526,-0.07987420884638677,-0.057826508,-0.05326159
decipher,0.1,15,-0.037750839395557526,-0.07987420884638677,-0.053816095,-0.062046796
decipher,0.1,20,-0.037750839395557526,-0.07987420884638677,-0.054625206,-0.04980397
decipher,0.1,25,-0.037750839395557526,-0.07987420884638677,-0.053879146,-0.054428175
decipher_mf,0.1,5,-0.037750839395557526,-0.07513187835244423,-0.051245514,-0.049000066
decipher_mf,0.1,10,-0.037750839395557526,-0.07513187835244423,-0.057826508,-0.045517467
decipher_mf,0.1,15,-0.037750839395557526,-0.07513187835244423,-0.053816095,-0.055220604
decipher_mf,0.1,20,-0.037750839395557526,-0.07513187835244423,-0.054625206,-0.050114416
decipher_mf,0.1,25,-0.037750839395557526,-0.07513187835244423,-0.053879146,-0.06613787
decipher_vz,0.1,5,-0.037750839395557526,-0.08913113173387568,-0.051245514,-0.052172698
decipher_vz,0.1,10,-0.037750839395557526,-0.08913113173387568,-0.057826508,-0.045865502
decipher_vz,0.1,15,-0.037750839395557526,-0.08913113173387568,-0.053816095,-0.06054425
decipher_vz,0.1,20,-0.037750839395557526,-0.08913113173387568,-0.054625206,-0.05978943
decipher_vz,0.1,25,-0.037750839395557526,-0.08913113173387568,-0.053879146,-0.06351721
decipher_vz2,0.1,5,-0.037750839395557526,-0.08627028323852509,-0.051245514,-0.054217443
decipher_vz2,0.1,10,-0.037750839395557526,-0.08627028323852509,-0.057826508,-0.047568463
decipher_vz2,0.1,15,-0.037750839395557526,-0.08627028323852509,-0.053816095,-0.055684388
decipher_vz2,0.1,20,-0.037750839395557526,-0.08627028323852509,-0.054625206,-0.0651845
decipher_vz2,0.1,25,-0.037750839395557526,-0.08627028323852509,-0.053879146,-0.05503023
decipher,0.5,5,0.3317591049809266,0.22608419868326682,0.3530956,-0.046417274
decipher,0.5,10,0.3317591049809266,0.22608419868326682,0.39879954,0.17605178
decipher,0.5,15,0.3317591049809266,0.22608419868326682,0.39875045,0.19680913
decipher,0.5,20,0.3317591049809266,0.22608419868326682,0.3935985,0.19559124
decipher,0.5,25,0.3317591049809266,0.22608419868326682,0.40317407,0.20295887
decipher_mf,0.5,5,0.3317591049809266,0.15132267061032495,0.3530956,0.01045849
decipher_mf,0.5,10,0.3317591049809266,0.15132267061032495,0.39879954,0.07417904
decipher_mf,0.5,15,0.3317591049809266,0.15132267061032495,0.39875045,0.1315582
decipher_mf,0.5,20,0.3317591049809266,0.15132267061032495,0.3935985,0.11400411
decipher_mf,0.5,25,0.3317591049809266,0.15132267061032495,0.40317407,0.13939393
decipher_vz,0.5,5,0.3317591049809266,0.4329702757397802,0.3530956,-0.01805621
decipher_vz,0.5,10,0.3317591049809266,0.4329702757397802,0.39879954,0.26851723
decipher_vz,0.5,15,0.3317591049809266,0.4329702757397802,0.39875045,0.3559392
decipher_vz,0.5,20,0.3317591049809266,0.4329702757397802,0.3935985,0.36162984
decipher_vz,0.5,25,0.3317591049809266,0.4329702757397802,0.40317407,0.39378628
decipher_vz2,0.5,5,0.3317591049809266,0.26331806543621095,0.3530956,0.033573672
decipher_vz2,0.5,10,0.3317591049809266,0.26331806543621095,0.39879954,0.04806014
decipher_vz2,0.5,15,0.3317591049809266,0.26331806543621095,0.39875045,0.17245348
decipher_vz2,0.5,20,0.3317591049809266,0.26331806543621095,0.3935985,0.25452265
decipher_vz2,0.5,25,0.3317591049809266,0.26331806543621095,0.40317407,0.24189013
decipher,1.0,5,0.6036789574656419,0.684511499537798,0.53936964,0.1757873
decipher,1.0,10,0.6036789574656419,0.684511499537798,0.6179704,0.41374102
decipher,1.0,15,0.6036789574656419,0.684511499537798,0.6443066,0.5203478
decipher,1.0,20,0.6036789574656419,0.684511499537798,0.65844077,0.49549565
decipher,1.0,25,0.6036789574656419,0.684511499537798,0.6680544,0.5918772
decipher_mf,1.0,5,0.6036789574656419,0.6377731153566566,0.53936964,0.011548584
decipher_mf,1.0,10,0.6036789574656419,0.6377731153566566,0.6179704,0.1808161
decipher_mf,1.0,15,0.6036789574656419,0.6377731153566566,0.6443066,0.43644667
decipher_mf,1.0,20,0.6036789574656419,0.6377731153566566,0.65844077,0.42069024
decipher_mf,1.0,25,0.6036789574656419,0.6377731153566566,0.6680544,0.49931866
decipher_vz,1.0,5,0.6036789574656419,0.693761465906182,0.53936964,0.19062017
decipher_vz,1.0,10,0.6036789574656419,0.693761465906182,0.6179704,0.20165908
decipher_vz,1.0,15,0.6036789574656419,0.693761465906182,0.6443066,0.34937814
decipher_vz,1.0,20,0.6036789574656419,0.693761465906182,0.65844077,0.52530354
decipher_vz,1.0,25,0.6036789574656419,0.693761465906182,0.6680544,0.56579787
decipher_vz2,1.0,5,0.6036789574656419,0.5867742775380983,0.53936964,0.2646762
decipher_vz2,1.0,10,0.6036789574656419,0.5867742775380983,0.6179704,0.27445504
decipher_vz2,1.0,15,0.6036789574656419,0.5867742775380983,0.6443066,0.4291828
decipher_vz2,1.0,20,0.6036789574656419,0.5867742775380983,0.65844077,0.49319717
decipher_vz2,1.0,25,0.6036789574656419,0.5867742775380983,0.6680544,0.4759315
decipher,10.0,5,0.9580241527039579,0.9412549201444668,0.36115474,0.15023464
decipher,10.0,10,0.9580241527039579,0.9412549201444668,0.61514413,0.13475883
decipher,10.0,15,0.9580241527039579,0.9412549201444668,0.6972315,0.23502117
decipher,10.0,20,0.9580241527039579,0.9412549201444668,0.73739773,0.12165926
decipher,10.0,25,0.9580241527039579,0.9412549201444668,0.71326643,0.14096005
decipher_mf,10.0,5,0.9580241527039579,0.9217942498063377,0.36115474,0.14458282
decipher_mf,10.0,10,0.9580241527039579,0.9217942498063377,0.61514413,0.2493192
decipher_mf,10.0,15,0.9580241527039579,0.9217942498063377,0.6972315,0.31955937
decipher_mf,10.0,20,0.9580241527039579,0.9217942498063377,0.73739773,0.13221876
decipher_mf,10.0,25,0.9580241527039579,0.9217942498063377,0.71326643,0.11071597
decipher_vz,10.0,5,0.9580241527039579,0.9456578013288527,0.36115474,0.108171925
decipher_vz,10.0,10,0.9580241527039579,0.9456578013288527,0.61514413,0.18791822
decipher_vz,10.0,15,0.9580241527039579,0.9456578013288527,0.6972315,0.38941622
decipher_vz,10.0,20,0.9580241527039579,0.9456578013288527,0.73739773,0.26121405
decipher_vz,10.0,25,0.9580241527039579,0.9456578013288527,0.71326643,0.14338955
decipher_vz2,10.0,5,0.9580241527039579,0.9171848026049274,0.36115474,0.16681157
decipher_vz2,10.0,10,0.9580241527039579,0.9171848026049274,0.61514413,0.2332655
decipher_vz2,10.0,15,0.9580241527039579,0.9171848026049274,0.6972315,0.29022974
decipher_vz2,10.0,20,0.9580241527039579,0.9171848026049274,0.73739773,0.10476514
decipher_vz2,10.0,25,0.9580241527039579,0.9171848026049274,0.71326643,0.13684565
decipher,2.0,5,0.7917714956068818,0.8149282064595783,0.53389895,0.21698102
decipher,2.0,10,0.7917714956068818,0.8149282064595783,0.6708761,0.28048292
decipher,2.0,15,0.7917714956068818,0.8149282064595783,0.69955724,0.08060065
decipher,2.0,20,0.7917714956068818,0.8149282064595783,0.7283311,0.4246953
decipher,2.0,25,0.7917714956068818,0.8149282064595783,0.7253123,0.33719933
decipher_mf,2.0,5,0.7917714956068818,0.6617292264898093,0.53389895,0.016610486
decipher_mf,2.0,10,0.7917714956068818,0.6617292264898093,0.6708761,0.016829921
decipher_mf,2.0,15,0.7917714956068818,0.6617292264898093,0.69955724,0.16460328
decipher_mf,2.0,20,0.7917714956068818,0.6617292264898093,0.7283311,0.21535937
decipher_mf,2.0,25,0.7917714956068818,0.6617292264898093,0.7253123,0.40603402
decipher_vz,2.0,5,0.7917714956068818,0.8451445831758907,0.53389895,0.22235669
decipher_vz,2.0,10,0.7917714956068818,0.8451445831758907,0.6708761,0.08938446
decipher_vz,2.0,15,0.7917714956068818,0.8451445831758907,0.69955724,0.22035539
decipher_vz,2.0,20,0.7917714956068818,0.8451445831758907,0.7283311,0.2786727
decipher_vz,2.0,25,0.7917714956068818,0.8451445831758907,0.7253123,0.3549916
decipher_vz2,2.0,5,0.7917714956068818,0.6759235448172515,0.53389895,0.23474859
decipher_vz2,2.0,10,0.7917714956068818,0.6759235448172515,0.6708761,0.23266177
decipher_vz2,2.0,15,0.7917714956068818,0.6759235448172515,0.69955724,0.41318476
decipher_vz2,2.0,20,0.7917714956068818,0.6759235448172515,0.7283311,0.46015137
decipher_vz2,2.0,25,0.7917714956068818,0.6759235448172515,0.7253123,0.5963237
decipher,5.0,5,0.916010161242581,0.9039679024764853,0.38847944,0.1794317
decipher,5.0,10,0.916010161242581,0.9039679024764853,0.65511316,0.28101724
decipher,5.0,15,0.916010161242581,0.9039679024764853,0.6693381,0.25685728
decipher,5.0,20,0.916010161242581,0.9039679024764853,0.73537844,0.1399386
decipher,5.0,25,0.916010161242581,0.9039679024764853,0.7222009,0.13139448
decipher_mf,5.0,5,0.916010161242581,0.9074124588497556,0.38847944,0.21140254
decipher_mf,5.0,10,0.916010161242581,0.9074124588497556,0.65511316,0.29667398
decipher_mf,5.0,15,0.916010161242581,0.9074124588497556,0.6693381,0.13269977
decipher_mf,5.0,20,0.916010161242581,0.9074124588497556,0.73537844,0.2467383
decipher_mf,5.0,25,0.916010161242581,0.9074124588497556,0.7222009,0.26002455
