model,sigma,seed,rho,trained_h5ad
Base Decipher,0.1,0,0.7639517400511351,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.1_seed0_decipher.h5ad
Base Decipher,0.1,1,0.9026578314916814,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.1_seed1_decipher.h5ad
Base Decipher,0.1,2,0.8255848260399283,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.1_seed2_decipher.h5ad
Base Decipher,0.1,3,0.9905232529152178,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.1_seed3_decipher.h5ad
Base Decipher,0.1,4,0.972999836325342,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.1_seed4_decipher.h5ad
Base Decipher,0.5,0,0.42216180140850573,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.5_seed0_decipher.h5ad
Base Decipher,0.5,1,0.6458419413674406,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.5_seed1_decipher.h5ad
Base Decipher,0.5,2,0.6802453237322068,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.5_seed2_decipher.h5ad
Base Decipher,0.5,3,0.8502490737357041,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.5_seed3_decipher.h5ad
Base Decipher,0.5,4,0.9130487533792726,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.5_seed4_decipher.h5ad
