model,batch_mode,bifurcation,shift_sigma,seed,decipher_seed,arm,wandb_run_id,wandb_url,rho,rho_plus,rho_minus,branch_asw,r2_overall,r2_per_gene_median,trained_h5ad,error,seconds
native,z,bif,0.1,4,3,Base Decipher (z),uxl5wood,https://wandb.ai/jpark-columbia/decipher-bc-sigma-sweep/runs/uxl5wood,0.9794159549757936,0.9714080190905254,0.9718211278591188,0.5030838251113892,0.8915607470283393,0.7928950815496296,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma0.1_seed4_native_bif_z_decipherseed_3.h5ad,,201.2
native,z,bif,0.5,4,2,Base Decipher (z),vxvxv2wz,https://wandb.ai/jpark-columbia/decipher-bc-sigma-sweep/runs/vxvxv2wz,0.9254007184429024,0.8558083920450194,0.8984334035641454,0.4472539722919464,0.9019798170600004,0.7963457613648548,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma0.5_seed4_native_bif_z_decipherseed_2.h5ad,,207.0
native,z,bif,0.1,3,2,Base Decipher (z),fg3z8kcx,https://wandb.ai/jpark-columbia/decipher-bc-sigma-sweep/runs/fg3z8kcx,0.9927840387604172,0.9919799415886896,0.991568037856687,0.4838867783546448,0.948969564660446,0.9056504778849042,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma0.1_seed3_native_bif_z_decipherseed_2.h5ad,,213.9
native,z,bif,0.5,3,3,Base Decipher (z),m4dqvjyt,https://wandb.ai/jpark-columbia/decipher-bc-sigma-sweep/runs/m4dqvjyt,0.9676722128016008,0.9535781792962574,0.9425680895198614,0.4319462776184082,0.9329219939679994,0.8772305170787338,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma0.5_seed3_native_bif_z_decipherseed_3.h5ad,,230.3
native,z,bif,0.1,5,3,Base Decipher (z),2yd4a210,https://wandb.ai/jpark-columbia/decipher-bc-sigma-sweep/runs/2yd4a210,0.9646588432354803,0.9667774090839868,0.955824377412274,0.5260834693908691,0.8856227494529304,0.7779740028074711,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma0.1_seed5_native_bif_z_decipherseed_3.h5ad,,236.0
native,z,bif,0.5,3,1,Base Decipher (z),k11puhg0,https://wandb.ai/jpark-columbia/decipher-bc-sigma-sweep/runs/k11puhg0,0.954421616557084,0.9669568312739532,0.9425551315548222,0.4439974725246429,0.9370024001180036,0.8851465865175642,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma0.5_seed3_native_bif_z_decipherseed_1.h5ad,,260.2
native,z,bif,0.5,4,3,Base Decipher (z),w7v7fbzm,https://wandb.ai/jpark-columbia/decipher-bc-sigma-sweep/runs/w7v7fbzm,0.9259150492322856,0.8662864951146966,0.9092503238356884,0.434253454208374,0.9003070373818349,0.7931565680677324,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma0.5_seed4_native_bif_z_decipherseed_3.h5ad,,210.7
native,z,bif,0.5,5,1,Base Decipher (z),k0hc66p4,https://wandb.ai/jpark-columbia/decipher-bc-sigma-sweep/runs/k0hc66p4,0.8996841351582521,0.9318908408258046,0.8123106053315988,0.3631127774715423,0.8947148853803316,0.7987780074355566,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma0.5_seed5_native_bif_z_decipherseed_1.h5ad,,219.0
native,z,bif,0.5,4,1,Base Decipher (z),v0ouvy2f,https://wandb.ai/jpark-columbia/decipher-bc-sigma-sweep/runs/v0ouvy2f,0.9543454975514254,0.9363225953734798,0.9263936616625416,0.4612841308116913,0.9014453317177,0.7933024815541709,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma0.5_seed4_native_bif_z_decipherseed_1.h5ad,,232.9
native,z,bif,0.5,3,2,Base Decipher (z),ootn33nh,https://wandb.ai/jpark-columbia/decipher-bc-sigma-sweep/runs/ootn33nh,0.9596075292985158,0.9434732878038228,0.9402628941023928,0.4799545705318451,0.9493040631088312,0.90304438411384,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma0.5_seed3_native_bif_z_decipherseed_2.h5ad,,255.5
