model,batch_mode,bifurcation,shift_sigma,seed,decipher_seed,arm,rho,rho_plus,rho_minus,branch_asw,r2_overall,r2_per_gene_median,trained_h5ad,error,seconds
native,z,bif,1.0,4,1,Base Decipher (z),0.8320566359032314,0.7711090024563212,0.7774697619431838,0.3135682940483093,0.9151250383136832,0.8371317869649267,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma1.0_seed4_native_bif_z.h5ad,,187.7
native,z,bif,1.0,3,1,Base Decipher (z),0.8876865882304039,0.8585976927562292,0.8437572545558366,0.3507916629314422,0.948403856740384,0.8955535535097705,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma1.0_seed3_native_bif_z.h5ad,,206.5
native,z,bif,0.1,4,1,Base Decipher (z),0.9735171342689456,0.9694086625501184,0.9679174995077126,0.4339907169342041,0.8909014066139987,0.7910589800325581,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma0.1_seed4_native_bif_z.h5ad,,208.4
native,z,bif,0.5,5,1,Base Decipher (z),0.8996841351582521,0.9318908408258046,0.8123106053315988,0.3631127774715423,0.8947148853803316,0.7987780074355566,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma0.5_seed5_native_bif_z.h5ad,,212.6
native,z,bif,0.1,5,1,Base Decipher (z),0.9719672231006958,0.9655407594723382,0.960708748237808,0.4487029016017914,0.8853528098184464,0.7794894517307988,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma0.1_seed5_native_bif_z.h5ad,,220.4
native,z,bif,2.0,3,1,Base Decipher (z),0.8006930692129409,0.5320810203860353,0.733202947592201,0.1223493739962577,0.9452773759169352,0.8953735217827139,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma2.0_seed3_native_bif_z.h5ad,,261.4
native,z,bif,0.5,4,1,Base Decipher (z),0.9543454975514254,0.9363225953734798,0.9263936616625416,0.4612841308116913,0.9014453317177,0.7933024815541709,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma0.5_seed4_native_bif_z.h5ad,,267.5
native,z,bif,2.0,5,1,Base Decipher (z),0.775946504773942,0.6488056063913967,0.7752079332833206,0.1029884815216064,0.9399072335850172,0.8911740501927349,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma2.0_seed5_native_bif_z.h5ad,,327.7
native,z,bif,0.1,3,1,Base Decipher (z),0.9812139695772428,0.9917021695682572,0.9916404044074764,0.4744539856910705,0.9518703988662576,0.9103176245196384,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma0.1_seed3_native_bif_z.h5ad,,390.6
native,z,bif,5.0,3,1,Base Decipher (z),0.833278568252743,0.7149262123918386,0.7122093638455534,0.0186017900705337,0.9537338936145664,0.9305790522211772,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma5.0_seed3_native_bif_z.h5ad,,402.5
native,z,bif,1.0,5,1,Base Decipher (z),0.751138170191829,0.7213871630905028,0.7499163770390136,0.2594979405403137,0.9178714789534268,0.8515729202041673,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma1.0_seed5_native_bif_z.h5ad,,426.4
native,z,bif,7.5,3,1,Base Decipher (z),0.783857636734579,0.6720332350324231,0.7067345170599932,0.0195311903953552,0.9619216309445224,0.9482368719362622,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma7.5_seed3_native_bif_z.h5ad,,445.0
native,z,bif,2.0,4,1,Base Decipher (z),0.6261319316575221,0.5744620077758671,0.4079915570177644,0.1784423291683197,0.9300408767356696,0.8750101360891405,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma2.0_seed4_native_bif_z.h5ad,,458.5
native,z,bif,0.5,3,1,Base Decipher (z),0.954421616557084,0.9669568312739532,0.9425551315548222,0.4439974725246429,0.9370024001180036,0.8851465865175642,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma0.5_seed3_native_bif_z.h5ad,,472.5
native,z,bif,5.0,4,1,Base Decipher (z),0.6358465383675468,0.4884551945729379,0.4690735337973528,0.0591926202178001,0.9592466451187006,0.9345666086865594,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma5.0_seed4_native_bif_z.h5ad,,496.7
native,z,bif,5.0,5,1,Base Decipher (z),0.6379105593274904,0.7019112480262287,0.5070282891835038,0.0167312417179346,0.9592812466089782,0.9400821710138234,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma5.0_seed5_native_bif_z.h5ad,,871.4
