model,shift_sigma,seed,hole_label,sil_counts,sil_counts_nobatch,sil_decipher_z,sil_decipher_v
Base Decipher,0.1,3,nohole,-0.013937194977880568,-0.027243241691475708,-0.03417433440851828,-0.037738286
Base Decipher,0.1,4,nohole,0.009556884145838197,-0.018979213100573274,-0.025602529137337963,-0.024606906
Base Decipher,0.5,3,nohole,0.11565160357887765,-0.027243241691475708,-0.030961837936060554,-0.0519925
Base Decipher,0.5,4,nohole,0.20160517797432567,-0.018979213100573274,-0.034059127063312114,-0.050112683
Base Decipher,1.0,3,nohole,0.2694896269322847,-0.027243241691475708,0.023726163881208323,-0.008985909
Base Decipher,1.0,4,nohole,0.40415108815714773,-0.018979213100573274,0.14280542759630374,0.090191856
Base Decipher,2.0,3,nohole,0.4627466110758548,-0.027243241691475708,0.15721420800464642,0.103937976
Base Decipher,2.0,4,nohole,0.6012580063437422,-0.018979213100573274,0.9108972707141435,0.90928036
Set3 concat->x  model5,0.1,3,nohole,-0.013937194977880568,-0.027243241691475708,-0.031154820332103702,-0.032212056
Set3 concat->x  model5,0.1,4,nohole,0.009556884145838197,-0.018979213100573274,-0.025822146257092275,-0.023571435
Set3 concat->x  model5,0.5,3,nohole,0.11565160357887765,-0.027243241691475708,-0.03381665595531864,-0.037069384
Set3 concat->x  model5,0.5,4,nohole,0.20160517797432567,-0.018979213100573274,-0.026195075381995895,-0.019605257
Set3 concat->x  model5,1.0,3,nohole,0.2694896269322847,-0.027243241691475708,-0.03146105273003545,-0.034301057
Set3 concat->x  model5,1.0,4,nohole,0.40415108815714773,-0.018979213100573274,-0.028149472306006236,-0.02661598
Set3 concat->x  model5,2.0,3,nohole,0.4627466110758548,-0.027243241691475708,0.01271429550704566,0.06194421
Set3 concat->x  model5,2.0,4,nohole,0.6012580063437422,-0.018979213100573274,-0.03238207555804602,-0.028212909
Base Decipher,0.1,3,holes3,-0.01773183333406197,-0.03133892672934233,-0.03957340190160204,-0.04064105
Base Decipher,0.1,4,holes3,0.0018034711587129977,-0.026446220394747245,-0.035166388612751474,-0.03591767
Base Decipher,0.5,3,holes3,0.09896319431701715,-0.03133892672934233,-0.0323287723549712,-0.047790587
Base Decipher,0.5,4,holes3,0.1857208835938863,-0.026446220394747245,-0.03313750949995777,-0.049988233
Base Decipher,1.0,3,holes3,0.24723665642248374,-0.03133892672934233,-0.0071166336037155825,-0.032999877
Base Decipher,1.0,4,holes3,0.3816295328923361,-0.026446220394747245,0.06851606713474505,0.0856556
Base Decipher,2.0,3,holes3,0.43566416723269513,-0.03133892672934233,0.09338572641906458,0.06559544
Base Decipher,2.0,4,holes3,0.5784692050479828,-0.026446220394747245,0.6336641037909311,0.6029148
Set3 concat->x  model5,0.1,3,holes3,-0.01773183333406197,-0.03133892672934233,-0.035775442172861924,-0.03461143
Set3 concat->x  model5,0.1,4,holes3,0.0018034711587129977,-0.026446220394747245,-0.0325518551583374,-0.03217425
Set3 concat->x  model5,0.5,3,holes3,0.09896319431701715,-0.03133892672934233,-0.0372612985333522,-0.035833575
Set3 concat->x  model5,0.5,4,holes3,0.1857208835938863,-0.026446220394747245,-0.03321013585879303,-0.03379395
Set3 concat->x  model5,1.0,3,holes3,0.24723665642248374,-0.03133892672934233,-0.043683797455109696,-0.039344966
Set3 concat->x  model5,1.0,4,holes3,0.3816295328923361,-0.026446220394747245,-0.03444286814812235,-0.032596763
Set3 concat->x  model5,2.0,3,holes3,0.43566416723269513,-0.03133892672934233,-0.011451959358450855,0.0042012846
Set3 concat->x  model5,2.0,4,holes3,0.5784692050479828,-0.026446220394747245,0.031091140855699518,0.028354065
