model,n_z_dims,shift_sigma,seed,decipher_seed,beta,batch_mode,branching_t,branch_prob,hole_label,hole_size,n_holes,hole_density,rho,rho_plus,rho_minus,branch_asw,trained_h5ad,r2_overall,r2_per_gene_median,error
Base Decipher,3,0.1,3,1,0.1,genes,0.3,0.5,nohole,1,0,0.0,0.9940804050651139,0.9931567327049404,0.9940160469662828,0.42143040895462036,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma0.1_seed3_native_bif_genes_decipherseed_1.h5ad,0.9468484064286641,0.9029204282779182,
Base Decipher,3,0.1,4,1,0.1,genes,0.3,0.5,nohole,1,0,0.0,0.9819179159953279,0.9782278532521055,0.980397007756987,0.4201168119907379,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma0.1_seed4_native_bif_genes_decipherseed_1.h5ad,0.8729634602859643,0.7733140209911612,
Base Decipher,3,0.5,3,1,0.1,genes,0.3,0.5,nohole,1,0,0.0,0.9818195741303817,0.9786148473825079,0.9794312954334702,0.4556620121002197,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma0.5_seed3_native_bif_genes_decipherseed_1.h5ad,0.8949396573014787,0.8303689938508241,
Base Decipher,3,0.5,4,1,0.1,genes,0.3,0.5,nohole,1,0,0.0,0.9253892379641042,0.9583013936283875,0.8967679482098738,0.4172501266002655,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma0.5_seed4_native_bif_genes_decipherseed_1.h5ad,0.778324086007492,0.6456992821321698,
Base Decipher,3,1.0,3,1,0.1,genes,0.3,0.5,nohole,1,0,0.0,0.9313255850516302,0.9700299335828727,0.9625728815309615,0.5127588510513306,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma1.0_seed3_native_bif_genes_decipherseed_1.h5ad,0.8035459984565179,0.716747007127131,
Base Decipher,3,1.0,4,1,0.1,genes,0.3,0.5,nohole,1,0,0.0,0.9212851805629663,0.7579925609585424,0.9235374011025023,0.1679832637310028,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma1.0_seed4_native_bif_genes_decipherseed_1.h5ad,0.6586317124252492,0.5085044577879506,
Base Decipher,3,2.0,3,1,0.1,genes,0.3,0.5,nohole,1,0,0.0,0.9455680924151217,0.9354449421450785,0.956416471017425,0.41922274231910706,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma2.0_seed3_native_bif_genes_decipherseed_1.h5ad,0.6518852619519089,0.5274323893375202,
Base Decipher,3,2.0,4,1,0.1,genes,0.3,0.5,nohole,1,0,0.0,0.5593732426313837,0.6600227650662068,0.2829940615271083,0.003822996513918042,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma2.0_seed4_native_bif_genes_decipherseed_1.h5ad,0.6856758275495531,0.6057094812067223,
Set3 concat->x  model5,3,0.1,3,1,0.1,genes,0.3,0.5,nohole,1,0,0.0,0.990924377710745,0.9927555746370041,0.9935748138008511,0.5174720287322998,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma0.1_seed3_model5_bif_genes_decipherseed_1.h5ad,0.9500438263150668,0.9071655475963114,
Set3 concat->x  model5,3,0.1,4,1,0.1,genes,0.3,0.5,nohole,1,0,0.0,0.979748701462627,0.973380491394861,0.9741888415145409,0.4808189272880554,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma0.1_seed4_model5_bif_genes_decipherseed_1.h5ad,0.8836876484597146,0.7834511416614393,
Set3 concat->x  model5,3,0.5,3,1,0.1,genes,0.3,0.5,nohole,1,0,0.0,0.9918291982591905,0.9929310455599236,0.9912540560472703,0.5292421579360962,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma0.5_seed3_model5_bif_genes_decipherseed_1.h5ad,0.9397525714711613,0.8951008260704284,
