model,sigma,seed,rho,ground_truth_h5ad,trained_h5ad
Decipher-BC,0.1,0,0.9331278106246261,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/0717_vz_0.01_-0.01_0.06_0.01_-0.05.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/trained/decipher_bc/sigma0.1_seed0_decipher_bc.h5ad
Decipher-BC,0.5,0,0.9376161236144647,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/0717_vz_0.06_-0.07_0.32_0.05_-0.27.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/trained/decipher_bc/sigma0.5_seed0_decipher_bc.h5ad
Decipher-BC,1.0,0,0.9368875507954894,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/0717_vz_0.13_-0.13_0.64_0.10_-0.54.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/trained/decipher_bc/sigma1.0_seed0_decipher_bc.h5ad
Decipher-BC,2.0,0,0.9343067325792003,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/0717_vz_0.25_-0.26_1.28_0.21_-1.07.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/trained/decipher_bc/sigma2.0_seed0_decipher_bc.h5ad
Decipher-BC,5.0,0,0.9183063300867701,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/0717_vz_0.63_-0.66_3.20_0.52_-2.68.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/trained/decipher_bc/sigma5.0_seed0_decipher_bc.h5ad
Decipher-BC,10.0,0,0.5669086370098885,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/0717_vz_1.26_-1.32_6.40_1.05_-5.36.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/trained/decipher_bc/sigma10.0_seed0_decipher_bc.h5ad
Base Decipher,0.1,0,0.940194160428072,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/0717_vz_0.01_-0.01_0.06_0.01_-0.05.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/trained/decipher/sigma0.1_seed0_decipher.h5ad
Base Decipher,0.5,0,0.9359217639320504,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/0717_vz_0.06_-0.07_0.32_0.05_-0.27.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/trained/decipher/sigma0.5_seed0_decipher.h5ad
Base Decipher,1.0,0,0.5348939593507724,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/0717_vz_0.13_-0.13_0.64_0.10_-0.54.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/trained/decipher/sigma1.0_seed0_decipher.h5ad
Base Decipher,2.0,0,0.8400205076565566,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/0717_vz_0.25_-0.26_1.28_0.21_-1.07.h5ad,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/v-to-z/trained/decipher/sigma2.0_seed0_decipher.h5ad
