,cell_id,group
0,aaaaaceb-1,tumor
1,aaaabdnf-1,endothelial
2,aaaacmki-1,tumor
3,aaaajjch-1,tumor
5,aaabbieb-1,fibroblast
6,aaabbllh-1,mixed_APC
7,aaabchbk-1,tumor
8,aaabgdag-1,tumor
10,aaabicog-1,fibroblast
11,aaabldch-1,plasma b
12,aaabnhpl-1,tumor
13,aaabnjko-1,macrophage
14,aaabpndp-1,mixed_APC
15,aaacbkcb-1,tumor
16,aaacecmo-1,mixed_immune
17,aaacedpb-1,tumor
18,aaacglmk-1,endothelial
20,aaaclomb-1,fibroblast
21,aaacnlai-1,tumor
22,aaacnpgb-1,tumor
23,aaacplam-1,tumor
24,aaadbekm-1,tumor
26,aaadihcj-1,fibroblast
27,aaadjnfi-1,tumor
28,aaadmlgl-1,tumor
29,aaaednci-1,macrophage
30,aaaegdjo-1,mixed_APC
31,aaaeknfl-1,tumor
32,aaafeamk-1,epithelial
33,aaafglhl-1,tumor
35,aaaflhep-1,tumor
36,aaafnjab-1,tumor
37,aaafpfom-1,tumor
38,aaagemeh-1,tumor
39,aaaghoch-1,tumor
41,aaagmmfn-1,tumor
43,aaagpfhh-1,tumor
44,aaahehfm-1,tumor
45,aaahggal-1,tumor
46,aaahhccd-1,tumor
48,aaahliga-1,tumor
49,aaahnnec-1,tumor
51,aaaiccfm-1,fibroblast
52,aaaicjke-1,tumor
53,aaaidafj-1,endothelial
54,aaaiehjd-1,tumor
55,aaaifman-1,tumor
56,aaaigdai-1,epithelial
57,aaaigfin-1,endothelial
58,aaaijfpn-1,tumor
59,aaaijkdk-1,tumor
61,aaajaehf-1,tumor
62,aaajinmn-1,tumor
63,aaajljmc-1,fibroblast
66,aaaklakb-1,plasma b
67,aaaklolj-1,fibroblast
68,aaakmadh-1,b cell
69,aaaknjbj-1,tumor
70,aaaljllc-1,tumor
71,aaalmlkm-1,tumor
72,aaamakbb-1,macrophage
73,aaamdhgi-1,tumor
75,aaamefjj-1,plasma b
76,aaameoae-1,tumor
77,aaamilak-1,tumor
78,aaamjghe-1,tumor
79,aaamjkli-1,tumor
80,aaamjoho-1,fibroblast
81,aaamlamo-1,fibroblast
82,aaamlkpo-1,tumor
83,aaamoghc-1,tumor
